name,condition,trait,valence,trigger,n_tokens,full_text,checkpoints
Maria,direct,generous,+,Maria is generous.,210,"Maria runs the corner bakery in a small town outside Lyon. Maria is generous. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. It is Tuesday. Maria ties her shoelaces.","{""distance_0_trigger_end"": {""position"": 16, ""token"": "".""}, ""distance_1_filler_end"": {""position"": 36, ""token"": "".""}, ""distance_2_filler_end"": {""position"": 57, ""token"": "".""}, ""distance_3_filler_end"": {""position"": 72, ""token"": "".""}, ""distance_4_filler_end"": {""position"": 91, ""token"": "".""}, ""distance_5_filler_end"": {""position"": 109, ""token"": "".""}, ""distance_6_filler_end"": {""position"": 126, ""token"": "".""}, ""distance_7_filler_end"": {""position"": 143, ""token"": "".""}, ""distance_8_filler_end"": {""position"": 163, ""token"": "".""}, ""distance_9_filler_end"": {""position"": 178, ""token"": "".""}, ""distance_10_filler_end"": {""position"": 198, ""token"": "".""}, ""reintro_sentence_end"": {""position"": 209, ""token"": "".""}, ""reintro_entity_mention"": {""position"": 203, ""token"": ""▁Maria""}}"
Maria,inferred,generous,+,"Every night before closing up, Maria brings part of the unsold bread to a shelter.",223,"Maria runs the corner bakery in a small town outside Lyon. Every night before closing up, Maria brings part of the unsold bread to a shelter. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. It is Tuesday. Maria ties her shoelaces.","{""distance_0_trigger_end"": {""position"": 29, ""token"": "".""}, ""distance_1_filler_end"": {""position"": 49, ""token"": "".""}, ""distance_2_filler_end"": {""position"": 70, ""token"": "".""}, ""distance_3_filler_end"": {""position"": 85, ""token"": "".""}, ""distance_4_filler_end"": {""position"": 104, ""token"": "".""}, ""distance_5_filler_end"": {""position"": 122, ""token"": "".""}, ""distance_6_filler_end"": {""position"": 139, ""token"": "".""}, ""distance_7_filler_end"": {""position"": 156, ""token"": "".""}, ""distance_8_filler_end"": {""position"": 176, ""token"": "".""}, ""distance_9_filler_end"": {""position"": 191, ""token"": "".""}, ""distance_10_filler_end"": {""position"": 211, ""token"": "".""}, ""reintro_sentence_end"": {""position"": 222, ""token"": "".""}, ""reintro_entity_mention"": {""position"": 216, ""token"": ""▁Maria""}}"
Maria,control,generous,+,Every morning Maria unlocks the bakery and sorts the flour delivery by the back door.,222,"Maria runs the corner bakery in a small town outside Lyon. Every morning Maria unlocks the bakery and sorts the flour delivery by the back door. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. It is Tuesday. Maria ties her shoelaces.","{""distance_0_trigger_end"": {""position"": 28, ""token"": "".""}, ""distance_1_filler_end"": {""position"": 48, ""token"": "".""}, ""distance_2_filler_end"": {""position"": 69, ""token"": "".""}, ""distance_3_filler_end"": {""position"": 84, ""token"": "".""}, ""distance_4_filler_end"": {""position"": 103, ""token"": "".""}, ""distance_5_filler_end"": {""position"": 121, ""token"": "".""}, ""distance_6_filler_end"": {""position"": 138, ""token"": "".""}, ""distance_7_filler_end"": {""position"": 155, ""token"": "".""}, ""distance_8_filler_end"": {""position"": 175, ""token"": "".""}, ""distance_9_filler_end"": {""position"": 190, ""token"": "".""}, ""distance_10_filler_end"": {""position"": 210, ""token"": "".""}, ""reintro_sentence_end"": {""position"": 221, ""token"": "".""}, ""reintro_entity_mention"": {""position"": 215, ""token"": ""▁Maria""}}"
Peter,direct,patient,+,Peter is patient.,210,"Peter runs a carpentry workshop in a small town outside Lyon. Peter is patient. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. It is Tuesday. Peter ties his shoelaces.","{""distance_0_trigger_end"": {""position"": 16, ""token"": "".""}, ""distance_1_filler_end"": {""position"": 36, ""token"": "".""}, ""distance_2_filler_end"": {""position"": 57, ""token"": "".""}, ""distance_3_filler_end"": {""position"": 72, ""token"": "".""}, ""distance_4_filler_end"": {""position"": 91, ""token"": "".""}, ""distance_5_filler_end"": {""position"": 109, ""token"": "".""}, ""distance_6_filler_end"": {""position"": 126, ""token"": "".""}, ""distance_7_filler_end"": {""position"": 143, ""token"": "".""}, ""distance_8_filler_end"": {""position"": 163, ""token"": "".""}, ""distance_9_filler_end"": {""position"": 178, ""token"": "".""}, ""distance_10_filler_end"": {""position"": 198, ""token"": "".""}, ""reintro_sentence_end"": {""position"": 209, ""token"": "".""}, ""reintro_entity_mention"": {""position"": 203, ""token"": ""▁Peter""}}"
Peter,inferred,patient,+,Peter can fish the lake all morning without a single bite and still call it time well spent.,225,"Peter runs a carpentry workshop in a small town outside Lyon. Peter can fish the lake all morning without a single bite and still call it time well spent. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. It is Tuesday. Peter ties his shoelaces.","{""distance_0_trigger_end"": {""position"": 31, ""token"": "".""}, ""distance_1_filler_end"": {""position"": 51, ""token"": "".""}, ""distance_2_filler_end"": {""position"": 72, ""token"": "".""}, ""distance_3_filler_end"": {""position"": 87, ""token"": "".""}, ""distance_4_filler_end"": {""position"": 106, ""token"": "".""}, ""distance_5_filler_end"": {""position"": 124, ""token"": "".""}, ""distance_6_filler_end"": {""position"": 141, ""token"": "".""}, ""distance_7_filler_end"": {""position"": 158, ""token"": "".""}, ""distance_8_filler_end"": {""position"": 178, ""token"": "".""}, ""distance_9_filler_end"": {""position"": 193, ""token"": "".""}, ""distance_10_filler_end"": {""position"": 213, ""token"": "".""}, ""reintro_sentence_end"": {""position"": 224, ""token"": "".""}, ""reintro_entity_mention"": {""position"": 218, ""token"": ""▁Peter""}}"
Peter,control,patient,+,Every morning Peter sweeps the sawdust from the workshop floor and lays out his tools.,222,"Peter runs a carpentry workshop in a small town outside Lyon. Every morning Peter sweeps the sawdust from the workshop floor and lays out his tools. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. It is Tuesday. Peter ties his shoelaces.","{""distance_0_trigger_end"": {""position"": 28, ""token"": "".""}, ""distance_1_filler_end"": {""position"": 48, ""token"": "".""}, ""distance_2_filler_end"": {""position"": 69, ""token"": "".""}, ""distance_3_filler_end"": {""position"": 84, ""token"": "".""}, ""distance_4_filler_end"": {""position"": 103, ""token"": "".""}, ""distance_5_filler_end"": {""position"": 121, ""token"": "".""}, ""distance_6_filler_end"": {""position"": 138, ""token"": "".""}, ""distance_7_filler_end"": {""position"": 155, ""token"": "".""}, ""distance_8_filler_end"": {""position"": 175, ""token"": "".""}, ""distance_9_filler_end"": {""position"": 190, ""token"": "".""}, ""distance_10_filler_end"": {""position"": 210, ""token"": "".""}, ""reintro_sentence_end"": {""position"": 221, ""token"": "".""}, ""reintro_entity_mention"": {""position"": 215, ""token"": ""▁Peter""}}"
Nadia,direct,brave,+,Nadia is brave.,212,"Nadia works at the health clinic in a small town outside Lyon. Nadia is brave. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. It is Tuesday. Nadia ties her shoelaces.","{""distance_0_trigger_end"": {""position"": 18, ""token"": "".""}, ""distance_1_filler_end"": {""position"": 38, ""token"": "".""}, ""distance_2_filler_end"": {""position"": 59, ""token"": "".""}, ""distance_3_filler_end"": {""position"": 74, ""token"": "".""}, ""distance_4_filler_end"": {""position"": 93, ""token"": "".""}, ""distance_5_filler_end"": {""position"": 111, ""token"": "".""}, ""distance_6_filler_end"": {""position"": 128, ""token"": "".""}, ""distance_7_filler_end"": {""position"": 145, ""token"": "".""}, ""distance_8_filler_end"": {""position"": 165, ""token"": "".""}, ""distance_9_filler_end"": {""position"": 180, ""token"": "".""}, ""distance_10_filler_end"": {""position"": 200, ""token"": "".""}, ""reintro_sentence_end"": {""position"": 211, ""token"": "".""}, ""reintro_entity_mention"": {""position"": 205, ""token"": ""▁Nadia""}}"
Nadia,inferred,brave,+,"When fire broke out in the stairwell, Nadia went back inside twice to carry out the people who could not move.",232,"Nadia works at the health clinic in a small town outside Lyon. When fire broke out in the stairwell, Nadia went back inside twice to carry out the people who could not move. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. It is Tuesday. Nadia ties her shoelaces.","{""distance_0_trigger_end"": {""position"": 38, ""token"": "".""}, ""distance_1_filler_end"": {""position"": 58, ""token"": "".""}, ""distance_2_filler_end"": {""position"": 79, ""token"": "".""}, ""distance_3_filler_end"": {""position"": 94, ""token"": "".""}, ""distance_4_filler_end"": {""position"": 113, ""token"": "".""}, ""distance_5_filler_end"": {""position"": 131, ""token"": "".""}, ""distance_6_filler_end"": {""position"": 148, ""token"": "".""}, ""distance_7_filler_end"": {""position"": 165, ""token"": "".""}, ""distance_8_filler_end"": {""position"": 185, ""token"": "".""}, ""distance_9_filler_end"": {""position"": 200, ""token"": "".""}, ""distance_10_filler_end"": {""position"": 220, ""token"": "".""}, ""reintro_sentence_end"": {""position"": 231, ""token"": "".""}, ""reintro_entity_mention"": {""position"": 225, ""token"": ""▁Nadia""}}"
Nadia,control,brave,+,Every morning Nadia checks the clinic's supply cupboard and signs the register at the desk.,226,"Nadia works at the health clinic in a small town outside Lyon. Every morning Nadia checks the clinic's supply cupboard and signs the register at the desk. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. It is Tuesday. Nadia ties her shoelaces.","{""distance_0_trigger_end"": {""position"": 32, ""token"": "".""}, ""distance_1_filler_end"": {""position"": 52, ""token"": "".""}, ""distance_2_filler_end"": {""position"": 73, ""token"": "".""}, ""distance_3_filler_end"": {""position"": 88, ""token"": "".""}, ""distance_4_filler_end"": {""position"": 107, ""token"": "".""}, ""distance_5_filler_end"": {""position"": 125, ""token"": "".""}, ""distance_6_filler_end"": {""position"": 142, ""token"": "".""}, ""distance_7_filler_end"": {""position"": 159, ""token"": "".""}, ""distance_8_filler_end"": {""position"": 179, ""token"": "".""}, ""distance_9_filler_end"": {""position"": 194, ""token"": "".""}, ""distance_10_filler_end"": {""position"": 214, ""token"": "".""}, ""reintro_sentence_end"": {""position"": 225, ""token"": "".""}, ""reintro_entity_mention"": {""position"": 219, ""token"": ""▁Nadia""}}"
Simon,direct,curious,+,Simon is curious.,211,"Simon works at a repair counter in a small town outside Lyon. Simon is curious. The town's main street runs in a straight line from the north gate to the central square. A row of plane trees stands along the pavement, tall enough to shade the whole street by midsummer. The central square is paved with grey cobblestones laid in a fan pattern. A stone fountain in the middle of the square has three tiers and runs from spring until autumn. The nearest railway station sits at the far end of a long avenue past the clock tower. Trains to the regional capital leave twice in the morning and once in the early afternoon. The weather in this region turns from dry summers to grey, rain-heavy winters. A ridge of low hills marks the eastern edge of the district, covered in scrub and loose rock. The oldest building still standing is a squat administrative hall with a tiled roof. A single road bridge crosses the river at the southern edge, wide enough for one lane of traffic. It is Tuesday. Simon ties his shoelaces.","{""distance_0_trigger_end"": {""position"": 17, ""token"": "".""}, ""distance_1_filler_end"": {""position"": 37, ""token"": "".""}, ""distance_2_filler_end"": {""position"": 58, ""token"": "".""}, ""distance_3_filler_end"": {""position"": 73, ""token"": "".""}, ""distance_4_filler_end"": {""position"": 92, ""token"": "".""}, ""distance_5_filler_end"": {""position"": 110, ""token"": "".""}, ""distance_6_filler_end"": {""position"": 127, ""token"": "".""}, ""distance_7_filler_end"": {""position"": 144, ""token"": "".""}, ""distance_8_filler_end"": {""position"": 164, ""token"": "".""}, ""distance_9_filler_end"": {""position"": 179, ""token"": "".""}, ""distance_10_filler_end"": {""position"": 199, ""token"": "".""}, ""reintro_sentence_end"": {""position"": 210, ""token"": "".""}, ""reintro_entity_mention"": {""position"": 204, ""token"": ""▁Simon""}}"
